title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
Howl's Moving Castle,2004,PG,1h 59m,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...","Animation,Adventure,Family","$24,000,000 (estimated)","$6,789,268","$237,728,734"
Rashomon,1950,Not Rated,1h 28m,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery","$250,000 (estimated)","$46,808","$117,668"
Yojimbo,1961,Not Rated,1h 50m,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller","$46,808","$15,942","$46,808"
Monty Python and the Holy Grail,1975,PG,1h 31m,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure,Comedy,Fantasy","£229,575 (estimated)","$2,562,392","$2,817,496"
Finding Nemo,2003,G,1h 40m,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy","$94,000,000 (estimated)","$380,843,261","$941,637,960"
The Great Escape,1963,Approved,2h 52m,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure,Drama,Thriller","$4,000,000 (estimated)","$230,637",
The Elephant Man,1980,PG,2h 4m,8.2,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...","Biography,Drama","$5,000,000 (estimated)","$26,010,864","$26,028,672"
The Treasure of the Sierra Madre,1948,Approved,2h 6m,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure,Drama,Western","$3,000,000 (estimated)","$5,014,000","$5,014,000"
A Beautiful Mind,2001,PG-13,2h 15m,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a...","Biography,Drama,Mystery","$58,000,000 (estimated)","$170,742,341","$316,791,257"
Kill Bill: Vol. 1,2003,R,1h 51m,8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Thriller","$30,000,000 (estimated)","$70,099,045","$180,908,413"
