title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
The Silence of the Lambs,1991,R,1h 58m,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller","$19,000,000 (estimated)","$130,742,922","$272,742,922"
Seven Samurai,1954,Not Rated,3h 27m,8.6,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action,Drama","¥125,000,000 (estimated)","$318,649","$346,258"
Dune: Part Two,2024,PG-13,2h 46m,8.7,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"Action,Adventure,Drama","$190,000,000 (estimated)","$276,592,913","$695,792,913"
Goodfellas,1990,R,2h 25m,8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Biography,Crime,Drama","$25,000,000 (estimated)","$46,909,721","$47,049,784"
Se7en,1995,R,2h 7m,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery","$33,000,000 (estimated)","$100,125,643","$327,333,559"
One Flew Over the Cuckoo's Nest,1975,R,2h 13m,8.7,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,"$3,000,000 (estimated)","$108,981,275","$109,114,987"
Fight Club,1999,R,2h 19m,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,"$63,000,000 (estimated)","$37,030,102","$101,320,107"
"The Good, the Bad and the Ugly",1966,R,2h 58m,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Western","$1,200,000 (estimated)","$25,100,000","$25,259,657"
Forrest Gump,1994,PG-13,2h 22m,8.8,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Drama,Romance","$55,000,000 (estimated)","$330,455,270","$678,226,465"
The Matrix,1999,R,2h 16m,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi","$63,000,000 (estimated)","$172,076,928","$467,623,299"
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,8.7,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Bo...","Action,Adventure,Fantasy","$18,000,000 (estimated)","$292,753,960","$538,375,067"
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama","$93,000,000 (estimated)","$316,115,420","$884,041,698"
Inception,2010,PG-13,2h 28m,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...","Action,Adventure,Sci-Fi","$160,000,000 (estimated)","$292,587,330","$839,030,630"
Pulp Fiction,1994,R,2h 34m,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama","$8,000,000 (estimated)","$107,928,762","$213,928,762"
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama","$94,000,000 (estimated)","$379,427,292","$1,156,600,472"
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama","$94,000,000 (estimated)","$342,952,511","$948,945,489"
Schindler's List,1993,R,3h 15m,9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History","$22,000,000 (estimated)","$96,898,818","$322,161,245"
The Godfather,1972,R,2h 55m,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Crime,Drama","$6,000,000 (estimated)","$136,381,073","$250,342,030"
The Godfather Part II,1974,R,3h 22m,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama","$13,000,000 (estimated)","$47,834,595","$47,962,897"
12 Angry Men,1957,Approved,1h 36m,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama","$350,000 (estimated)","$2,667","$2,667"
The Dark Knight,2008,PG-13,2h 32m,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama","$185,000,000 (estimated)","$534,987,076","$1,008,486,720"
